time,open,high,low,close,volume
2023-03-29 23:55:00,1792.36,1792.37,1791.45,1791.46,96.4386
2023-03-29 23:56:00,1791.46,1792.75,1791.45,1792.75,123.599
2023-03-29 23:57:00,1792.74,1792.86,1792.74,1792.85,40.5386
2023-03-29 23:58:00,1792.86,1793.28,1792.85,1793.28,63.5706
2023-03-29 23:59:00,1793.27,1793.38,1793.06,1793.07,58.5997
2023-03-30 00:00:00,1793.06,1793.31,1792.89,1793.3,211.0114
2023-03-30 00:01:00,1793.31,1793.55,1793.24,1793.54,151.2052
2023-03-30 00:02:00,1793.54,1793.83,1793.2,1793.83,125.5476
2023-03-30 00:03:00,1793.83,1793.86,1792.42,1792.68,326.8193
2023-03-30 00:04:00,1792.68,1792.69,1790.71,1790.77,135.9168
2023-03-30 00:05:00,1790.78,1791.94,1790.14,1791.88,310.7627
2023-03-30 00:06:00,1791.89,1792.5,1791.7,1792.38,203.6178
2023-03-30 00:07:00,1792.38,1792.38,1792.09,1792.09,84.1044
2023-03-30 00:08:00,1792.09,1793.56,1792.09,1793.55,146.5859
2023-03-30 00:09:00,1793.56,1794.11,1793.55,1793.89,154.4861
2023-03-30 00:10:00,1793.88,1794.59,1793.88,1794.41,148.5018
2023-03-30 00:11:00,1794.41,1795.3,1794.14,1794.73,193.2345
2023-03-30 00:12:00,1794.73,1795.45,1794.72,1795.29,144.9905
2023-03-30 00:13:00,1795.29,1795.3,1793.11,1793.4,225.8207
2023-03-30 00:14:00,1793.4,1794.35,1793.2,1794.35,58.4427
2023-03-30 00:15:00,1794.35,1794.69,1794.08,1794.69,82.0522
2023-03-30 00:16:00,1794.68,1796.54,1794.68,1796.54,206.9744
2023-03-30 00:17:00,1796.53,1797.69,1796.53,1797.69,189.2365
2023-03-30 00:18:00,1797.69,1797.95,1797.33,1797.95,161.9604
2023-03-30 00:19:00,1797.95,1799.26,1797.94,1798.45,231.403
2023-03-30 00:20:00,1798.45,1798.45,1797.52,1798.08,238.8525
2023-03-30 00:21:00,1798.09,1798.27,1797.49,1798.26,232.9149
2023-03-30 00:22:00,1798.26,1798.27,1797.91,1798.12,132.7298
2023-03-30 00:23:00,1798.12,1799.13,1798.11,1798.81,175.4151
2023-03-30 00:24:00,1798.81,1798.81,1796.93,1797.51,259.385
2023-03-30 00:25:00,1797.52,1797.52,1796.53,1796.54,273.4381
2023-03-30 00:26:00,1796.53,1796.94,1796.18,1796.77,119.2479
2023-03-30 00:27:00,1796.78,1796.85,1796.1,1796.4,130.9139
2023-03-30 00:28:00,1796.39,1796.94,1796.39,1796.94,130.8058
2023-03-30 00:29:00,1796.94,1796.94,1796.3,1796.3,154.8352
2023-03-30 00:30:00,1796.3,1796.31,1795.77,1795.93,175.3478
2023-03-30 00:31:00,1795.93,1795.94,1794.58,1794.71,143.4465
2023-03-30 00:32:00,1794.71,1794.72,1793.65,1794.06,239.1895
2023-03-30 00:33:00,1794.06,1796.02,1794.05,1795.53,212.7429
2023-03-30 00:34:00,1795.53,1796.98,1795.52,1796.98,213.7642
2023-03-30 00:35:00,1796.97,1796.98,1796.02,1796.41,172.418
2023-03-30 00:36:00,1796.42,1796.42,1795.86,1796.3,178.4641
2023-03-30 00:37:00,1796.31,1796.32,1795.59,1795.59,225.4234
2023-03-30 00:38:00,1795.6,1796.21,1795.23,1796.02,152.9637
2023-03-30 00:39:00,1796.01,1797.12,1795.98,1796.92,188.6075
2023-03-30 00:40:00,1796.92,1797.16,1796.71,1797.15,138.897
2023-03-30 00:41:00,1797.16,1797.5,1796.75,1796.82,202.586
2023-03-30 00:42:00,1796.82,1796.83,1795.46,1795.58,173.3369
2023-03-30 00:43:00,1795.57,1796.14,1794.89,1794.9,215.4533
2023-03-30 00:44:00,1794.9,1794.9,1794.13,1794.14,185.162
2023-03-30 00:45:00,1794.13,1794.14,1793.01,1793.4,191.1775
2023-03-30 00:46:00,1793.4,1793.4,1791.39,1791.4,335.6081
2023-03-30 00:47:00,1791.39,1791.67,1791.19,1791.3,255.8503
2023-03-30 00:48:00,1791.3,1791.34,1789.8,1790.8,368.6223
2023-03-30 00:49:00,1790.8,1790.81,1788.31,1788.72,493.2425
2023-03-30 00:50:00,1788.73,1788.82,1785.31,1785.58,997.4848
2023-03-30 00:51:00,1785.58,1787.67,1785.57,1787.66,264.9943
2023-03-30 00:52:00,1787.67,1787.81,1786.57,1786.58,144.8836
2023-03-30 00:53:00,1786.58,1786.71,1780.4,1782.8,1737.9127
2023-03-30 00:54:00,1782.8,1783.54,1776.43,1782.53,4076.3166
2023-03-30 00:55:00,1782.52,1785.48,1781.47,1784.44,1100.9859
2023-03-30 00:56:00,1784.44,1785.98,1781.98,1785.22,1218.7987
2023-03-30 00:57:00,1785.21,1786.5,1784.43,1784.68,646.0828
2023-03-30 00:58:00,1784.69,1786.66,1784.07,1784.61,606.7192
2023-03-30 00:59:00,1784.62,1786.09,1784.24,1785.26,341.7147
2023-03-30 01:00:00,1785.25,1788.91,1784.65,1788.26,1756.7644
2023-03-30 01:01:00,1788.27,1788.58,1786.87,1788.52,1007.406
2023-03-30 01:02:00,1788.52,1789.51,1787.95,1788.65,615.1233
2023-03-30 01:03:00,1788.64,1789.31,1787.01,1788.78,454.3243
2023-03-30 01:04:00,1788.77,1789.53,1788.32,1789.07,444.83
2023-03-30 01:05:00,1789.08,1789.32,1787.43,1787.43,322.2135
2023-03-30 01:06:00,1787.44,1788.32,1787.17,1787.4,299.5761
2023-03-30 01:07:00,1787.41,1787.41,1784.28,1785.16,694.6208
2023-03-30 01:08:00,1785.17,1785.17,1782.44,1783.75,655.502
2023-03-30 01:09:00,1783.75,1784.52,1781.61,1784.27,700.1761
2023-03-30 01:10:00,1784.26,1785.11,1783.04,1784.02,837.8862
